Processor Pool Total:  820154608 Used:  353748464 Free:  466406144

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
  17   0        448        448      25864          0          0 DDR Timers      
 116   0          0          0      25864          0          0 VRF GR Process  
 115   0          0          0      25864          0          0 wake_on_lan     
 107   0          0          0      25864          0          0 Bridge-domain ba
 105   0          0          0      25864          0          0 X.25 Encaps Sub-
 104   0          0          0      25864          0          0 X.25 Encaps Mana
   8   0        448        448      25864          0          0 Timers          
  56   0          0          0      25864          0          0 Transport Port A
 103   0          0          0      25864          0          0 VRRS            
 101   0        448        448      25864          0          0 SpanTree Msg    
 157   0        448        448      25864          0          0 EFP Errd        
  99   0          0          0      25864          0          0 SSS Feature Time
  98   0          0          0      25864          0          0 SSS Feature Mana
  94   0          0          0      25864          0          0 RIB LM VALIDATE 
   7   0          0          0      25864          0          0 DiscardQ Backgro
  91   0        448        448      25864          0          0 PPP Bind        
  90   0        448        448      25864          0          0 PPP SIP         
 284   0          0          0      25864          0          0 IPSECv6 PS Proc 
  88   0          0          0      25864          0          0 IPv6 ping proces
  87   0        536        536      25864          0          0 PIM register asy
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
  43   0          0          0      25864          0          0 SERIAL A'detect 
  54   0          0          0      25864          0          0 IF-MGR event pro
 156   0          0          0      25864          0          0 AAA System Acct 
  85   0          0          0      25864          0          0 FQDN ACL Mgr    
   4   0          0          0      25864          0          0 RO Notify Timers
 357   0          0          0      25864          0          0 IP SLAs ICMP Jit
 358   0          0          0      25864          0          0 IP SLAs Jitter E
 359   0          0          0      25864          0          0 IP SLAs Ethernet
 220   0          0          0      25864          0          0 XC RIB MGR      
 227   0          0          0      25864          0          0 HQF Output Shape
 366   0        448        448      25864          0          0 Compute load avg
 373   0          0          0      25864          0          0 Inter Chassis Pr
 364   0          0          0      25864          0          0 SGACL LOG CORE  
 365   0          0          0      25864          0          0 Net Input       
 210   0          0          0      25864          0          0 LAPB Process    
  69   0        408          0      14272          0          0 ADJ NSF process 
 212   0        408          0      14272          0          0 PfR BR Learn    
  55   0          0          0      13864          0          0 Inode Table Dest
   9   0          0          0      13864          0          0 WATCH_AFS       
  20   0          0          0      13864          0          0 RMI RM Notify Wa
 236   0        448        448      13864          0          0 L2X Switching Ev
   0   0       1008     973152       1008          0          0 *Sched*         
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
                                353737816 Total
